idTweet,fullText
1.48E+18,"Guillermo Lasso ‘cachorreó’ al alcalde de Zaruma por su gestión chimba. Jhansy López no atinaba que responder. Por otro lado, el presidente suscribió un decreto para ayudar a los damnificados. https://t.co/jPcw5PqarX"
1.48E+18,"El presidente Guillermo Lasso ha tirado encima de Jhansy López, alcalde de Zaruma, todo el problema de la minería ilegal, en el marco de una reunión telemática que se llevó a cabo para evaluar las acciones gestionadas tras el socavón."
1.48E+18,"🆘️SOLO 3.7% CALIFICA DE MUY BUENA LA GESTIÓN DE GUILLERMO LASSO🆘️🆘️
#VEA
A través de encuesta realizada por Perfiles de Opinión, del 18 al 20 de diciembre 2021, en Quito, Guayaquil, Cuenca y Manta, califican la gestión del presidente #Lasso con el 59.07% de mala y muy mala. https://t.co/zDXlGqUIqA"
1.48E+18,"#Nacional | Por medio de la suscripción de un decreto, el presidente Guillermo Lasso dispuso la entrega monetaria a los habitantes de Zaruma, correspondiente a subsidios por desastre a las personas que califican dentro de las normas y reglamentos legales del país. 
#Zaruma https://t.co/Em8e6dWu2r"
1.48E+18,"#LassoMentiroso dice lo que se promete se cumple, pero todos sus ofrecimientos aplican restricciones que son una burla para los ecuatorianos. No se trata de dádivas, sino de dar dignidad. Qué pena, de eso su gobierno no sabe nada presidente Guillermo Lasso. https://t.co/IylBTMcjjA"
1.48E+18,"El presidente Guillermo Lasso anunció mediante un decreto que se realizará la entrega de un bono de contingencia a las personas afectadas por el socavón en Zaruma.
-
Detalles: ⬇️
https://t.co/Iml4fOnvqr"
1.48E+18,"Veo con asombro como actores políticos de diferentes sectores, hoy se atribuyen los logros del gobiernos nacional, de Guillermo Lasso, LATAM llega gracias a las gestiones del gobierno y sus autoridades, la vía Loja Catamayo será gracias al presidente"
1.48E+18,@KELVINGAME3 Mano dura señor Presidente Guillermo Lasso con estos farsantes que no quieren la recuperación del País por su egoísmo los ecuatorianos queremos trabajar y trabajar para salir de esta crisis que nos afecta por la pandemia a nivel mundial no se diga nacional
1.48E+18,"Han pasado más de dos meses desde que el presidente Guillermo Lasso mencionó en una entrevista televisiva que existía un “triunvirato de la conspiración” para su gobierno, conformado por Rafael Correa, Jaime Nebot y Leonidas Iza."
1.48E+18,"Revista Vistazo 
Enfrentamiento entre el presidente Guillermo Lasso y el alcalde de Zaruma, Jhansy López, por la grave situación que atraviesa el cantón. ¿Quién tiene la culpa? ▶️ https://t.co/HmUzDTjctl
#LassoEsUnFracasso @LassoGuillermo https://t.co/DUrn0ULnqO"
